! Reaction's Kinematics:  Alab & Elab
! 12C + 2H -> 8Be + 6Li     or    2H(12C,8Be)6Li;       Reaction at the "middle" of the target
! Projectile Energy at the reaction place:  27.40 MeV/u;      Grazing angle:  CMS = 1.52 deg;    Lab = 0.37 deg
! Q reaction : -8.92 MeV  (Excitations 0.0+0.0 -> 3.0+0.0);     Plotted Energy option is "after reaction"
Angle  [Lab-deg]1	Fragment - 8Be	Angle  [Lab-deg]2	Residual - 6Li	
0.000000	35.019    	0.000000	6.57298   	
0.043173	35.0189   	0.133653	6.57307   	
0.086346	35.0187   	0.267300	6.57332   	
0.129518	35.0184   	0.400935	6.57374   	
0.172690	35.0179   	0.534553	6.57434   	
0.215861	35.0174   	0.668148	6.5751    	
0.259032	35.0167   	0.801714	6.57603   	
0.302201	35.0158   	0.935246	6.57713   	
0.345370	35.0149   	1.068737	6.5784    	
0.388537	35.0138   	1.202182	6.57984   	
0.431702	35.0126   	1.335575	6.58145   	
0.474866	35.0113   	1.468910	6.58323   	
0.518029	35.0098   	1.602183	6.58517   	
0.561189	35.0082   	1.735386	6.58729   	
0.604347	35.0065   	1.868514	6.58958   	
0.647503	35.0046   	2.001562	6.59203   	
0.690656	35.0027   	2.134524	6.59465   	
0.733807	35.0006   	2.267395	6.59745   	
0.776955	34.9984   	2.400167	6.60041   	
0.820101	34.996    	2.532837	6.60354   	
0.863243	34.9935   	2.665398	6.60684   	
0.906382	34.9909   	2.797845	6.61031   	
0.949517	34.9882   	2.930172	6.61395   	
0.992649	34.9853   	3.062374	6.61775   	
1.035777	34.9823   	3.194445	6.62173   	
1.078902	34.9792   	3.326379	6.62588   	
1.122022	34.976    	3.458171	6.63019   	
1.165138	34.9726   	3.589816	6.63467   	
1.208250	34.9691   	3.721308	6.63932   	
1.251357	34.9655   	3.852642	6.64414   	
1.294459	34.9617   	3.983812	6.64913   	
1.337557	34.9579   	4.114814	6.65429   	
1.380649	34.9539   	4.245640	6.65961   	
1.423736	34.9497   	4.376287	6.66511   	
1.466818	34.9455   	4.506749	6.67077   	
1.509895	34.9411   	4.637021	6.6766    	
1.552966	34.9366   	4.767097	6.6826    	
1.596030	34.932    	4.896973	6.68877   	
1.639089	34.9272   	5.026642	6.69511   	
1.682142	34.9223   	5.156101	6.70161   	
1.725189	34.9173   	5.285344	6.70828   	
1.768228	34.9122   	5.414365	6.71512   	
1.811262	34.9069   	5.543160	6.72213   	
1.854288	34.9015   	5.671724	6.72931   	
1.897307	34.896    	5.800052	6.73665   	
1.940320	34.8903   	5.928138	6.74416   	
1.983325	34.8846   	6.055979	6.75184   	
2.026322	34.8787   	6.183568	6.75969   	
2.069312	34.8726   	6.310902	6.7677    	
2.112294	34.8665   	6.437976	6.77588   	
2.155268	34.8602   	6.564784	6.78423   	
2.198234	34.8538   	6.691323	6.79275   	
2.241191	34.8473   	6.817586	6.80143   	
2.284141	34.8407   	6.943571	6.81028   	
2.327081	34.8339   	7.069272	6.8193    	
2.370013	34.827    	7.194684	6.82848   	
2.412935	34.82     	7.319804	6.83783   	
2.455849	34.8128   	7.444626	6.84735   	
2.498753	34.8055   	7.569147	6.85704   	
2.541648	34.7981   	7.693362	6.86689   	
2.584533	34.7906   	7.817266	6.87691   	
2.627409	34.7829   	7.940856	6.88709   	
2.670274	34.7752   	8.064127	6.89744   	
2.713130	34.7673   	8.187075	6.90796   	
2.755975	34.7592   	8.309695	6.91864   	
2.798809	34.7511   	8.431984	6.92949   	
2.841633	34.7428   	8.553938	6.9405    	
2.884446	34.7344   	8.675553	6.95168   	
2.927249	34.7259   	8.796824	6.96303   	
2.970040	34.7172   	8.917748	6.97454   	
3.012820	34.7085   	9.038321	6.98621   	
3.055588	34.6996   	9.158539	6.99806   	
3.098345	34.6905   	9.278398	7.01006   	
3.141090	34.6814   	9.397895	7.02223   	
3.183823	34.6721   	9.517026	7.03457   	
3.226544	34.6627   	9.635787	7.04707   	
3.269252	34.6532   	9.754175	7.05974   	
3.311948	34.6436   	9.872186	7.07257   	
3.354632	34.6338   	9.989817	7.08556   	
3.397303	34.6239   	10.107064	7.09872   	
3.439960	34.6139   	10.223924	7.11205   	
3.482605	34.6038   	10.340394	7.12554   	
3.525236	34.5935   	10.456470	7.13919   	
3.567854	34.5831   	10.572149	7.153     	
3.610458	34.5726   	10.687428	7.16698   	
3.653049	34.562    	10.802304	7.18112   	
3.695625	34.5513   	10.916773	7.19543   	
3.738187	34.5404   	11.030834	7.2099    	
3.780735	34.5294   	11.144482	7.22453   	
3.823269	34.5183   	11.257714	7.23932   	
3.865788	34.507    	11.370529	7.25428   	
3.908292	34.4957   	11.482923	7.2694    	
3.950781	34.4842   	11.594893	7.28469   	
3.993255	34.4726   	11.706436	7.30013   	
4.035713	34.4609   	11.817551	7.31574   	
4.078156	34.449    	11.928233	7.33151   	
4.120583	34.437    	12.038482	7.34744   	
4.162995	34.4249   	12.148293	7.36353   	
4.205390	34.4127   	12.257666	7.37979   	
4.247770	34.4004   	12.366596	7.3962    	
4.290132	34.3879   	12.475082	7.41278   	
4.332479	34.3754   	12.583122	7.42952   	
4.374808	34.3627   	12.690713	7.44642   	
4.417121	34.3498   	12.797853	7.46348   	
4.459417	34.3369   	12.904540	7.4807    	
4.501695	34.3239   	13.010772	7.49808   	
4.543956	34.3107   	13.116546	7.51562   	
4.586200	34.2974   	13.221861	7.53332   	
4.628425	34.2839   	13.326715	7.55118   	
4.670633	34.2704   	13.431105	7.5692    	
4.712823	34.2567   	13.535029	7.58738   	
4.754994	34.243    	13.638487	7.60572   	
4.797147	34.2291   	13.741476	7.62422   	
4.839282	34.2151   	13.843994	7.64287   	
4.881397	34.2009   	13.946040	7.66169   	
4.923494	34.1867   	14.047611	7.68067   	
4.965571	34.1723   	14.148707	7.6998    	
5.007629	34.1578   	14.249326	7.71909   	
5.049668	34.1432   	14.349467	7.73854   	
5.091687	34.1284   	14.449126	7.75815   	
5.133686	34.1136   	14.548305	7.77791   	
5.175665	34.0986   	14.647000	7.79783   	
5.217624	34.0835   	14.745211	7.81791   	
5.259562	34.0683   	14.842936	7.83815   	
5.301480	34.053    	14.940175	7.85854   	
5.343377	34.0376   	15.036925	7.87909   	
5.385253	34.022    	15.133186	7.8998    	
