! Reaction's Kinematics:  Alab & Elab
! 14O + 2H -> 10C + 6Li     or    2H(14O,10C)6Li;       Reaction at the "middle" of the target
! Projectile Energy at the reaction place:  35.60 MeV/u;      Grazing angle:  CMS = 1.50 deg;    Lab = 0.32 deg
! Q reaction : -8.64 MeV  (Excitations 0.0+0.0 -> 0.0+0.0);     Plotted Energy option is "after reaction"
Angle  [Lab-deg]1	Fragment - 10C	Angle  [Lab-deg]2	Residual - 6Li	
0.000000	44.1098   	0.000000	8.01733   	
0.038111	44.1097   	0.150284	8.01745   	
0.076222	44.1095   	0.300560	8.01782   	
0.114332	44.1091   	0.450822	8.01843   	
0.152443	44.1086   	0.601062	8.01929   	
0.190552	44.108    	0.751272	8.0204    	
0.228661	44.1071   	0.901445	8.02174   	
0.266768	44.1062   	1.051574	8.02334   	
0.304875	44.1051   	1.201652	8.02518   	
0.342980	44.1038   	1.351670	8.02726   	
0.381083	44.1024   	1.501623	8.02959   	
0.419185	44.1009   	1.651502	8.03217   	
0.457286	44.0992   	1.801300	8.03499   	
0.495384	44.0973   	1.951010	8.03805   	
0.533480	44.0954   	2.100625	8.04136   	
0.571574	44.0932   	2.250137	8.04491   	
0.609665	44.0909   	2.399539	8.04871   	
0.647754	44.0885   	2.548824	8.05276   	
0.685840	44.0859   	2.697985	8.05705   	
0.723923	44.0832   	2.847015	8.06158   	
0.762003	44.0803   	2.995906	8.06636   	
0.800079	44.0773   	3.144652	8.07139   	
0.838153	44.0742   	3.293245	8.07666   	
0.876222	44.0709   	3.441678	8.08217   	
0.914288	44.0674   	3.589945	8.08793   	
0.952350	44.0638   	3.738037	8.09393   	
0.990407	44.06     	3.885949	8.10018   	
1.028461	44.0561   	4.033674	8.10667   	
1.066510	44.0521   	4.181204	8.1134    	
1.104554	44.0479   	4.328532	8.12038   	
1.142594	44.0436   	4.475653	8.12761   	
1.180629	44.0391   	4.622558	8.13508   	
1.218658	44.0345   	4.769242	8.14279   	
1.256683	44.0297   	4.915697	8.15075   	
1.294702	44.0247   	5.061918	8.15895   	
1.332715	44.0197   	5.207897	8.16739   	
1.370723	44.0145   	5.353627	8.17608   	
1.408724	44.0091   	5.499103	8.18501   	
1.446720	44.0036   	5.644318	8.19418   	
1.484709	43.9979   	5.789265	8.2036    	
1.522692	43.9921   	5.933938	8.21327   	
1.560669	43.9862   	6.078331	8.22317   	
1.598638	43.9801   	6.222437	8.23332   	
1.636601	43.9738   	6.366251	8.24371   	
1.674557	43.9675   	6.509765	8.25435   	
1.712505	43.9609   	6.652974	8.26522   	
1.750446	43.9542   	6.795873	8.27635   	
1.788380	43.9474   	6.938454	8.28771   	
1.826305	43.9405   	7.080711	8.29931   	
1.864223	43.9333   	7.222640	8.31116   	
1.902133	43.9261   	7.364234	8.32325   	
1.940034	43.9187   	7.505487	8.33559   	
1.977927	43.9111   	7.646394	8.34816   	
2.015812	43.9034   	7.786949	8.36098   	
2.053688	43.8956   	7.927146	8.37404   	
2.091554	43.8876   	8.066980	8.38734   	
2.129412	43.8795   	8.206446	8.40088   	
