! Reaction's Kinematics:  Alab & Alab
! 14O + 2H -> 10C + 6Li     or    2H(14O,10C)6Li;       Reaction at the "middle" of the target
! Projectile Energy at the reaction place:  35.60 MeV/u;      Grazing angle:  CMS = 1.50 deg;    Lab = 0.32 deg
! Q reaction : -8.64 MeV  (Excitations 0.0+0.0 -> 0.0+0.0);     Plotted Energy option is "after reaction"
Angle of  10C [Lab-deg]	Y	
0.000000	8.34917e-09	
0.038111	0.150284  	
0.076222	0.30056   	
0.114332	0.450822  	
0.152443	0.601062  	
0.190552	0.751272  	
0.228661	0.901445  	
0.266768	1.05157   	
0.304875	1.20165   	
0.342980	1.35167   	
0.381083	1.50162   	
0.419185	1.6515    	
0.457286	1.8013    	
0.495384	1.95101   	
0.533480	2.10062   	
0.571574	2.25014   	
0.609665	2.39954   	
0.647754	2.54882   	
0.685840	2.69799   	
0.723923	2.84702   	
0.762003	2.99591   	
0.800079	3.14465   	
0.838153	3.29324   	
0.876222	3.44168   	
0.914288	3.58994   	
0.952350	3.73804   	
0.990407	3.88595   	
1.028461	4.03367   	
1.066510	4.1812    	
1.104554	4.32853   	
1.142594	4.47565   	
1.180629	4.62256   	
1.218658	4.76924   	
1.256683	4.9157    	
1.294702	5.06192   	
1.332715	5.2079    	
1.370723	5.35363   	
1.408724	5.4991    	
1.446720	5.64432   	
1.484709	5.78926   	
1.522692	5.93394   	
1.560669	6.07833   	
1.598638	6.22244   	
1.636601	6.36625   	
1.674557	6.50977   	
1.712505	6.65297   	
1.750446	6.79587   	
1.788380	6.93845   	
1.826305	7.08071   	
1.864223	7.22264   	
1.902133	7.36423   	
1.940034	7.50549   	
1.977927	7.64639   	
2.015812	7.78695   	
2.053688	7.92715   	
2.091554	8.06698   	
2.129412	8.20645   	
2.167261	8.34554   	
2.205100	8.48425   	
2.242929	8.62258   	
2.280749	8.76051   	
2.318559	8.89805   	
2.356359	9.0352    	
2.394149	9.17193   	
2.431928	9.30826   	
2.469697	9.44417   	
2.507454	9.57966   	
2.545201	9.71472   	
2.582937	9.84936   	
2.620662	9.98356   	
2.658375	10.1173   	
2.696077	10.2506   	
2.733767	10.3835   	
2.771445	10.5159   	
2.809111	10.6479   	
2.846764	10.7794   	
2.884406	10.9104   	
2.922034	11.041    	
2.959650	11.1711   	
2.997253	11.3007   	
3.034843	11.4299   	
3.072419	11.5585   	
3.109983	11.6867   	
3.147532	11.8144   	
3.185068	11.9415   	
3.222590	12.0682   	
3.260097	12.1944   	
3.297591	12.3201   	
3.335069	12.4452   	
3.372534	12.5699   	
3.409983	12.694    	
3.447418	12.8176   	
3.484837	12.9407   	
3.522241	13.0633   	
3.559629	13.1853   	
3.597002	13.3068   	
3.634359	13.4278   	
3.671700	13.5482   	
3.709025	13.6681   	
3.746333	13.7875   	
3.783625	13.9063   	
3.820900	14.0246   	
3.858159	14.1423   	
3.895400	14.2594   	
3.932624	14.3761   	
3.969831	14.4921   	
4.007020	14.6076   	
4.044191	14.7225   	
4.081345	14.8369   	
4.118480	14.9507   	
4.155597	15.064    	
4.192696	15.1767   	
4.229776	15.2888   	
4.266837	15.4003   	
4.303879	15.5113   	
4.340902	15.6217   	
4.377906	15.7315   	
4.414890	15.8407   	
4.451855	15.9494   	
4.488800	16.0575   	
4.525724	16.165    	
4.562629	16.2719   	
4.599513	16.3782   	
4.636377	16.484    	
4.673220	16.5891   	
4.710042	16.6937   	
4.746843	16.7977   	
4.783622	16.9011   	
4.820380	17.0039   	
4.857117	17.1061   	
4.893832	17.2078   	
4.930524	17.3088   	
4.967195	17.4092   	
5.003843	17.5091   	
5.040469	17.6084   	
5.077072	17.707    	
5.113652	17.8051   	
5.150209	17.9026   	
5.186743	17.9995   	
5.223253	18.0958   	
5.259740	18.1915   	
5.296203	18.2866   	
5.332642	18.3811   	
5.369057	18.475    	
5.405447	18.5683   	
5.441813	18.661    	
5.478155	18.7531   	
5.514471	18.8446   	
5.550762	18.9356   	
5.587029	19.0259   	
5.623269	19.1156   	
5.659484	19.2048   	
5.695673	19.2933   	
5.731837	19.3813   	
5.767974	19.4687   	
5.804084	19.5554   	
5.840168	19.6416   	
5.876226	19.7272   	
5.912256	19.8122   	
5.948260	19.8966   	
5.984236	19.9804   	
6.020184	20.0636   	
6.056105	20.1463   	
6.091998	20.2283   	
6.127863	20.3098   	
6.163700	20.3906   	
6.199508	20.4709   	
6.235288	20.5506   	
6.271039	20.6297   	
6.306761	20.7082   	
6.342453	20.7862   	
6.378117	20.8636   	
6.413751	20.9403   	
6.449355	21.0165   	
6.484929	21.0922   	
6.520473	21.1672   	
6.555986	21.2417   	
6.591469	21.3156   	
6.626922	21.3889   	
6.662343	21.4616   	
6.697733	21.5338   	
6.733092	21.6054   	
6.768420	21.6764   	
6.803716	21.7469   	
6.838980	21.8168   	
6.874212	21.8861   	
6.909411	21.9549   	
6.944579	22.0231   	
6.979713	22.0907   	
7.014815	22.1578   	
7.049883	22.2243   	
7.084919	22.2903   	
7.119920	22.3557   	
7.154889	22.4205   	
7.189823	22.4848   	
7.224723	22.5485   	
7.259589	22.6117   	
7.294421	22.6744   	
7.329218	22.7365   	
7.363980	22.798    	
7.398707	22.859    	
7.433399	22.9195   	
7.468055	22.9794   	
7.502676	23.0388   	
7.537261	23.0976   	
7.571810	23.1559   	
7.606322	23.2137   	
7.640799	23.2709   	
7.675238	23.3276   	
7.709641	23.3838   	
7.744006	23.4394   	
7.778334	23.4945   	
7.812625	23.5491   	
7.846878	23.6032   	
7.881093	23.6567   	
7.915270	23.7098   	
7.949409	23.7623   	
7.983509	23.8143   	
8.017571	23.8657   	
8.051593	23.9167   	
8.085577	23.9672   	
8.119521	24.0171   	
8.153425	24.0665   	
8.187290	24.1155   	
8.221115	24.1639   	
8.254899	24.2118   	
8.288643	24.2592   	
8.322347	24.3062   	
8.356010	24.3526   	
8.389631	24.3985   	
8.423212	24.444    	
8.456751	24.4889   	
8.490248	24.5334   	
8.523703	24.5774   	
8.557117	24.6208   	
8.590487	24.6638   	
8.623816	24.7064   	
8.657102	24.7484   	
8.690344	24.79     	
8.723544	24.8311   	
8.756700	24.8717   	
8.789812	24.9118   	
8.822881	24.9515   	
8.855905	24.9907   	
8.888886	25.0294   	
8.921821	25.0677   	
8.954713	25.1055   	
8.987559	25.1428   	
9.020360	25.1797   	
9.053115	25.2161   	
9.085825	25.2521   	
9.118489	25.2876   	
9.151107	25.3226   	
9.183679	25.3573   	
9.216204	25.3914   	
9.248683	25.4251   	
9.281115	25.4584   	
9.313499	25.4912   	
9.345836	25.5236   	
9.378125	25.5556   	
9.410367	25.5871   	
9.442560	25.6181   	
9.474706	25.6488   	
9.506802	25.679    	
9.538850	25.7088   	
9.570849	25.7381   	
9.602798	25.767    	
9.634699	25.7955   	
9.666549	25.8236   	
9.698349	25.8513   	
9.730100	25.8785   	
9.761800	25.9053   	
9.793449	25.9317   	
9.825048	25.9577   	
9.856595	25.9833   	
9.888091	26.0085   	
9.919536	26.0333   	
9.950928	26.0576   	
9.982269	26.0816   	
10.013557	26.1051   	
10.044793	26.1283   	
10.075976	26.151    	
10.107106	26.1734   	
10.138183	26.1953   	
10.169207	26.2169   	
10.200177	26.2381   	
10.231092	26.2589   	
10.261954	26.2793   	
10.292761	26.2993   	
10.323514	26.3189   	
10.354211	26.3381   	
10.384853	26.357    	
10.415440	26.3755   	
10.445972	26.3936   	
10.476447	26.4113   	
10.506866	26.4287   	
10.537229	26.4457   	
10.567536	26.4623   	
10.597785	26.4785   	
10.627977	26.4944   	
10.658112	26.5099   	
10.688189	26.5251   	
10.718208	26.5398   	
10.748170	26.5543   	
10.778072	26.5683   	
10.807916	26.5821   	
10.837702	26.5954   	
10.867428	26.6084   	
10.897094	26.6211   	
10.926701	26.6334   	
10.956249	26.6453   	
10.985735	26.6569   	
11.015162	26.6682   	
11.044528	26.6791   	
11.073833	26.6897   	
11.103076	26.6999   	
11.132259	26.7098   	
11.161379	26.7194   	
11.190438	26.7286   	
11.219434	26.7375   	
11.248368	26.746    	
11.277239	26.7543   	
11.306047	26.7622   	
11.334791	26.7697   	
11.363472	26.777    	
11.392090	26.7839   	
11.420643	26.7905   	
11.449132	26.7968   	
11.477556	26.8027   	
11.505915	26.8084   	
11.534209	26.8137   	
11.562438	26.8187   	
11.590601	26.8234   	
11.618698	26.8278   	
11.646729	26.8318   	
11.674694	26.8356   	
11.702591	26.839    	
11.730422	26.8422   	
11.758185	26.845    	
11.785881	26.8476   	
11.813508	26.8498   	
11.841068	26.8517   	
11.868559	26.8534   	
11.895982	26.8547   	
11.923335	26.8558   	
11.950619	26.8565   	
11.977834	26.857    	
12.004979	26.8572   	
12.032054	26.857    	
12.059058	26.8566   	
12.085992	26.8559   	
12.112854	26.855    	
12.139646	26.8537   	
12.166366	26.8521   	
12.193014	26.8503   	
12.219590	26.8482   	
12.246094	26.8458   	
12.272525	26.8431   	
12.298884	26.8402   	
12.325169	26.837    	
12.351380	26.8335   	
12.377518	26.8297   	
12.403581	26.8257   	
12.429570	26.8214   	
12.455485	26.8168   	
